arm	pull	be	ask	meaning	diary	capsule	family
f11111	1	1	1	1	1	1	factorial
f11110	1	1	1	1	0	1	factorial
f11101	1	1	1	0	1	1	factorial
f11100	1	1	1	0	0	1	factorial
f11011	1	1	0	1	1	1	factorial
f11010	1	1	0	1	0	1	factorial
f11001	1	1	0	0	1	1	factorial
f11000	1	1	0	0	0	1	factorial
f10111	1	0	1	1	1	1	factorial
f10110	1	0	1	1	0	1	factorial
f10101	1	0	1	0	1	1	factorial
f10100	1	0	1	0	0	1	factorial
f10011	1	0	0	1	1	1	factorial
f10010	1	0	0	1	0	1	factorial
f10001	1	0	0	0	1	1	factorial
f10000	1	0	0	0	0	1	factorial
f01111	0	1	1	1	1	1	factorial
f01110	0	1	1	1	0	1	factorial
f01101	0	1	1	0	1	1	factorial
f01100	0	1	1	0	0	1	factorial
f01011	0	1	0	1	1	1	factorial
f01010	0	1	0	1	0	1	factorial
f01001	0	1	0	0	1	1	factorial
f01000	0	1	0	0	0	1	factorial
f00111	0	0	1	1	1	1	factorial
f00110	0	0	1	1	0	1	factorial
f00101	0	0	1	0	1	1	factorial
f00100	0	0	1	0	0	1	factorial
f00011	0	0	0	1	1	1	factorial
f00010	0	0	0	1	0	1	factorial
f00001	0	0	0	0	1	1	factorial
f00000	0	0	0	0	0	1	factorial
no-capsule	0	0	0	0	0	0	closure-control
