point	word	heard	meaning_primary	meaning_alternate	episode	offered_primary	offered_alternate	answer_primary	answer_alternate	resolved	returns	pending	pending_primary	pending_alternate	pending_turns	wonders	school_learned	deferred	deferred_blocks	deferred_born_turn	deferred_last_seen_turn	deferred_count	turn_clock
turn2	finished	1	none	none	1	none	none	none	none	0	0	finished	none	none	1	1	0	0	0	0	0	0	2
turn2	yes	12	agree	none	0	none	none	none	none	-1	-1	finished	none	none	1	1	0	0	0	0	0	0	2
turn9	finished	1	none	none	1	none	none	none	none	0	0	finished	none	none	8	1	0	0	0	0	0	1	9
turn9	shelter	1	none	none	0	none	none	none	none	-1	-1	finished	none	none	8	1	0	1	1	9	9	1	9
turn10	finished	1	none	none	1	none	none	none	none	0	0	shelter	man	small	0	2	0	1	1	1	10	1	10
turn10	shelter	2	none	none	1	man	small	none	none	0	0	shelter	man	small	0	2	0	0	0	0	0	1	10
turn12	shelter	3	none	none	1	man	small	none	none	0	1	shelter	man	small	0	2	0	0	0	0	0	1	12
turn13	finished	1	none	none	1	none	none	none	none	0	0	none	none	none	0	2	1	1	1	1	10	1	13
turn13	shelter	3	small	none	1	man	small	small	none	1	1	none	none	none	0	2	1	0	0	0	0	1	13
turn13	man	23	man	none	0	none	none	none	none	-1	-1	none	none	none	0	2	1	0	0	0	0	1	13
turn13	safe	19	none	none	0	none	none	none	none	-1	-1	none	none	none	0	2	1	0	0	0	0	1	13
turn13	place	29	none	none	0	none	none	none	none	-1	-1	none	none	none	0	2	1	0	0	0	0	1	13
turn13	one	226	one	none	0	none	none	none	none	-1	-1	none	none	none	0	2	1	0	0	0	0	1	13
turn24	finished	1	none	none	1	none	none	none	none	0	0	none	none	none	0	2	1	1	1	1	10	1	24
turn24	shelter	3	small	none	1	man	small	small	none	1	1	none	none	none	0	2	1	0	0	0	0	1	24
turn24-sleep	finished	1	none	none	1	none	none	none	none	0	0	none	none	none	0	2	1	1	1	1	10	1	24
turn24-sleep	shelter	3	small	none	1	man	small	small	none	1	1	none	none	none	0	2	1	0	0	0	0	1	24
